 0.9576666666666668 1.2458333333333331 
L 87.58533333333398 88.09016666666732 
L 88.70766666666732 89.10416666666733 
L 89.82350000000066 90.22000000000067 
L 90.835333333334 91.23183333333401 
L 91.95333333333402 92.31516666666735 
L 93.00200000000069 93.3985000000007 
L 93.94016666666737 94.19366666666737 
L 94.4450000000007 94.70066666666737 
L 95.82083333333405 96.10683333333405 
L 96.43183333333405 96.68316666666739 
L 97.04500000000073 97.2616666666674 
R 87.47483333333398 97.40683333333406 
R 97.69500000000073 98.20200000000074 
R 98.77833333333407 98.92566666666741 
R 99.64500000000075 99.86166666666742 
R 100.65683333333409 100.87350000000076 
R 101.66866666666743 101.99150000000077 
L 97.69500000000073 102.39233333333411 
R 102.64366666666744 102.89500000000078 
R 103.65333333333412 103.83316666666745 
R 104.6305000000008 104.88183333333413 
R 105.64016666666747 105.85683333333414 
L 102.64366666666744 107.19150000000081 
L 107.58800000000082 108.13183333333416 
L 108.4936666666675 108.9616666666675 
L 109.50333333333417 109.97350000000084 
L 110.44366666666751 110.94633333333418 
L 111.45116666666752 111.84983333333419 
R 106.72350000000081 111.95816666666752 
R 112.35466666666753 112.75550000000086 
R 113.54850000000087 113.7283333333342 
R 114.55816666666755 114.81166666666755 
R 115.49850000000089 115.74983333333422 
L 112.2853333333342 116.25683333333423 
R 116.76166666666757 117.08666666666757 
L 116.76166666666757 117.19283333333424 
R 117.88183333333424 118.20683333333425 
R 118.52966666666758 118.71166666666758 
R 119.79500000000093 119.90333333333426 
L 119.07133333333425 120.48183333333427 
R 120.44283333333426 120.80683333333427 
L 120.95200000000094 121.42000000000094 
R 121.56300000000094 122.03316666666761 
L 122.53800000000095 123.08183333333429 
R 123.15333333333429 123.33316666666762 
R 123.62350000000096 123.84016666666763 
L 124.09150000000096 124.3818333333343 
R 124.4533333333343 124.6678333333343 
L 125.02966666666764 125.28316666666764 
R 125.53883333333431 125.71650000000098 
L 125.89633333333431 126.18450000000098 
R 126.65466666666765 126.83666666666765 
R 127.48450000000099 127.63183333333433 
R 128.2081666666677 128.4248333333344 
L 128.82133333333442 129.00333333333444 
R 129.1831666666678 129.39983333333447 
L 129.90466666666785 130.37483333333452 
R 130.3380000000012 130.55466666666788 
L 130.80816666666792 131.06166666666795 
R 131.34766666666798 131.56650000000133 
L 132.32483333333477 132.54150000000143 
R 133.0095000000015 133.2261666666682 
R 133.55116666666825 133.77000000000163 
L 133.98666666666833 134.4915000000017 
R 134.5261666666684 134.77966666666842 
L 134.99633333333512 135.4296666666685 
R 135.4643333333352 135.68316666666854 
L 135.86300000000188 136.1511666666686 
R 136.40466666666862 136.87483333333535 
L 137.16300000000206 137.41433333333543 
R 137.84983333333548 137.99500000000216 
R 138.28316666666888 138.4651666666689 
L 138.8248333333356 139.18666666666894 
L 139.51383333333564 139.7630000000023 
L 140.05333333333567 140.34150000000238 
L 140.66650000000243 140.9893333333358 
R 141.35333333333583 141.82133333333587 
L 142.18316666666925 142.54283333333595 
R 142.72483333333597 142.978333333336 
L 143.12133333333603 143.37700000000268 
R 143.48316666666938 143.62616666666938 
L 143.77133333333606 144.0248333333361 
L 144.38666666666944 144.60333333333614 
L 144.96300000000286 145.2165000000029 
L 145.5046666666696 145.79500000000294 
R 146.15466666666964 146.2608333333363 
R 147.05600000000308 147.2380000000031 
R 147.6713333333365 147.8880000000032 
L 148.24983333333657 148.60733333333656 
R 148.64633333333654 148.89983333333657 
L 149.15116666666995 149.43933333333666 
R 149.62133333333668 149.83800000000338 
L 150.01783333333674 150.27133333333677 
R 150.8130000000035 150.99283333333688 
L 151.75116666667031 151.96783333333698 
R 152.4726666666704 152.69150000000374 
L 153.0880000000038 153.3761666666705 
R 153.41300000000385 153.6275000000039 
L 153.91783333333726 154.31433333333732 
R 154.49633333333733 154.85600000000406 
L 155.51033333333746 155.90250000000415 
L 156.59150000000423 156.91433333333762 
L 157.7095000000044 158.50466666667114 
L 158.79283333333785 159.3345000000046 
L 159.80466666667132 160.05816666667135 
R 160.66916666667143 160.92050000000478 
R 161.7178333333382 161.8630000000049 
R 162.76433333333836 162.94416666667172 
R 163.8498333333385 164.02750000000518 
R 164.85950000000526 165.07616666667195 
L 160.56300000000473 165.29283333333865 
L 165.65466666667203 166.15950000000544 
L 166.62966666667214 166.95466666667218 
L 167.64150000000558 167.99900000000565 
L 168.57750000000573 168.9046666666724 
L 169.73450000000582 170.05950000000584 
L 170.8525000000059 171.14283333333924 
L 171.97266666667267 172.26300000000603 
L 173.09066666667283 173.38316666667285 
L 174.24766666667296 174.53800000000632 
R 165.6178333333387 174.71783333333968 
R 175.2226666666731 175.4393333333398 
R 176.30600000000658 176.48583333333994 
R 177.3525000000067 177.53233333334006 
R 178.3665000000068 178.5441666666735 
R 179.41083333334024 179.62750000000693 
L 175.2226666666731 180.13233333334034 
L 180.38583333334037 180.85383333334045 
L 181.36300000000713 181.68583333334047 
L 182.51566666667387 182.73450000000722 
L 183.45600000000732 183.70950000000735 
R 180.24283333334034 184.17966666667408 
R 184.61300000000747 184.90333333334084 
R 185.76783333334092 185.98233333334096 
R 186.81650000000772 187.0310000000077 
R 187.9691666666745 188.14900000000787 
R 189.19550000000797 189.37750000000798 
R 190.27883333334145 190.45866666667482 
R 191.36433333334156 191.58100000000826 
R 192.48450000000835 192.66433333334172 
R 193.06083333334178 193.2428333333418 
R 193.6761666666752 194.07266666667522 
L 184.50250000000747 194.54283333334195 
L 194.757333333342 195.44416666667541 
L 195.76916666667543 196.27400000000884 
L 196.81566666667555 197.28583333334225 
L 197.82750000000897 198.33233333334235 
L 198.9108333333424 199.23800000000907 
R 194.68800000000863 199.41566666667578 
R 199.74066666667582 200.13933333334253 
R 200.68100000000925 200.93233333334257 
R 201.61916666667597 201.833666666676 
R 202.59200000000942 202.84550000000945 
R 203.5691666666762 203.82050000000956 
L 199.7038333333425 204.0393333333429 
L 204.29283333334294 204.689333333343 
L 205.1226666666764 205.48450000000975 
L 206.34900000000985 206.60250000000985 
L 207.50600000000995 207.79200000001 
L 208.73233333334346 208.9836666666768 
L 209.85250000001022 210.06700000001027 
L 210.68233333334368 210.86216666667704 
L 211.1525000000104 211.33233333334377 
L 212.08850000001053 212.34200000001053 
L 212.7753333333439 212.9941666666772 
L 213.31916666667723 213.46433333334392 
L 214.00600000001066 214.18583333334402 
R 204.32750000000962 214.29200000001072 
R 215.1976666666775 215.41216666667754 
R 216.13366666667764 216.31566666667766 
R 216.9656666666777 217.184500000011 
R 218.04900000001112 218.3003333333445 
R 219.13016666667792 219.71083333334465 
R 220.1420000000114 220.64900000001145 
R 221.3726666666782 221.62400000001156 
R 222.45600000001164 222.70516666667837 
R 223.43100000001175 223.68233333334513 
L 214.51083333334407 223.7560000000118 
L 224.04633333334516 224.47533333334525 
L 225.017000000012 225.30516666667867 
L 226.10033333334542 226.39066666667878 
L 227.11216666667886 227.32883333334556 
L 228.12183333334568 228.41216666667904 
L 229.1705000000125 229.46083333334587 
L 230.32750000001263 230.507333333346 
L 231.26350000001278 231.51700000001279 
L 232.3490000000129 232.5656666666796 
R 224.00733333334517 232.74550000001295 
R 232.9968333333463 233.10516666667965 
L 232.9643333333463 233.21566666667965 
L 233.6121666666797 234.4051666666798 
R 234.3336666666798 234.65866666667984 
R 235.5253333333466 235.67050000001328 
L 234.80383333334652 236.17533333334669 
R 236.17533333334669 236.46566666668002 
L 236.64550000001339 237.2586666666801 
R 237.2586666666801 237.4038333333468 
R 237.9086666666802 238.16216666668024 
R 239.06350000001368 239.20866666668036 
R 239.53583333334706 239.68100000001374 
R 240.32883333334718 240.50866666668054 
L 238.41566666668027 241.0156666666806 
R 240.9051666666806 241.3753333333473 
L 241.41216666668063 241.9906666666807 
R 241.9191666666807 242.1358333333474 
L 242.38933333334742 242.82050000001414 
R 242.78583333334745 242.96566666668082 
L 243.3600000000142 243.83233333334758 
R 243.94066666668093 244.08366666668095 
L 244.1920000000143 244.44550000001433 
R 244.8420000000144 244.98500000001442 
L 245.16700000001444 245.52883333334782 
R 245.7801666666812 245.92750000001453 
R 246.25250000001458 246.43016666668123 
R 246.79200000001458 247.04550000001458 
L 247.22533333334795 247.51350000001463 
R 247.6586666666813 247.83850000001468 
R 248.3086666666814 248.48850000001477 
R 248.77883333334813 249.03233333334813 
L 249.13850000001483 249.39200000001486 
R 249.60866666668156 249.75383333334824 
L 250.04200000001495 250.40383333334833 
R 250.61833333334837 250.87400000001503 
L 251.1253333333484 251.37883333334844 
R 251.52183333334847 251.66700000001515 
R 252.0288333333485 252.17400000001518 
R 252.4621666666819 252.64200000001526 
L 253.04066666668197 253.365666666682 
L 253.7968333333487 254.05033333334873 
L 254.41000000001546 254.63100000001546 
R 254.7740000000155 254.9516666666822 
L 255.1336666666822 255.38716666668222 
R 255.81833333334893 256.07183333334893 
L 256.47050000001565 256.7240000000157 
R 256.8670000000157 257.0836666666824 
L 257.37400000001577 257.62533333334915 
R 257.9503333333492 258.16483333334924 
R 258.56350000001595 258.78016666668265 
R 258.96216666668266 259.21350000001604 
L 259.5385000000161 259.8656666666828 
R 260.0433333333495 260.2600000000162 
L 260.7301666666829 261.0573333333496 
R 261.27183333334966 261.5253333333497 
L 261.8481666666831 262.1406666666831 
R 262.2468333333498 262.46566666668315 
R 262.86000000001656 263.14816666668327 
L 263.47533333334997 263.76566666668333 
R 263.87183333335 264.0885000000167 
L 264.4503333333501 264.7385000000168 
R 264.88150000001684 265.1003333333502 
R 265.49683333335025 265.71350000001695 
L 266.0038333333503 266.32883333335036 
R 266.4003333333504 266.6538333333504 
L 266.83366666668377 267.08500000001715 
R 267.4815000000172 267.7740000000172 
L 268.0253333333506 268.27883333335063 
R 268.387166666684 268.601666666684 
L 268.85516666668406 269.07183333335075 
R 269.47050000001747 269.65033333335083 
L 269.93850000001754 270.1898333333509 
L 270.66000000001765 270.839833333351 
L 271.34683333335107 271.56350000001777 
R 271.7455000000178 271.92533333335115 
L 272.1051666666845 272.3218333333512 
R 273.0433333333513 273.29683333335134 
R 274.08983333335146 274.38016666668483 
R 275.1753333333516 275.3530000000183 
R 276.22183333335175 276.4753333333518 
R 277.2683333333519 277.4850000000186 
R 278.3906666666854 278.5683333333521 
R 279.4371666666855 279.65166666668557 
R 280.481500000019 280.6613333333524 
R 281.71216666668585 281.9266666666859 
L 277.23150000001857 281.9981666666859 
L 282.39466666668596 282.830166666686 
L 283.51700000001944 283.7315000000195 
L 284.5288333333529 284.74333333335295 
L 285.50383333335304 285.72050000001974 
L 286.6218333333532 286.8385000000199 
L 287.77883333335336 287.9933333333534 
L 288.8946666666869 289.1828333333536 
L 290.162166666687 290.41133333335375 
R 282.3600000000193 291.6398333333539 
R 292.07533333335397 292.361333333354 
R 293.1218333333541 293.3016666666875 
R 294.1705000000209 294.3828333333543 
R 295.25166666668775 295.50300000002113 
R 296.40650000002125 296.62316666668795 
R 297.5981666666881 297.8516666666881 
R 298.64466666668824 298.9350000000216 
R 299.73233333335503 299.9468333333551 
R 300.7766666666885 300.9933333333552 
L 291.35383333335386 301.2446666666886 
L 301.60866666668863 302.0051666666887 
L 302.72450000002215 303.0885000000222 
L 303.8143333333556 304.1328333333557 
L 304.8196666666891 305.14466666668915 
L 306.01133333335594 306.3731666666893 
L 307.13150000002275 307.4565000000228 
L 308.3231666666896 308.64816666668963 
L 309.4780000000231 309.91350000002313 
L 310.70650000002325 311.0315000000233 
R 301.5718333333553 311.35650000002335 
R 311.6100000000234 311.9696666666901 
R 312.5460000000235 312.72800000002354 
R 313.5231666666903 313.73766666669036 
R 314.53283333335713 314.74950000002383 
R 315.8003333333573 316.01483333335733 
L 311.57316666669004 316.3398333333574 
L 316.66266666669077 316.98983333335747 
L 317.5315000000242 317.92800000002427 
L 318.5433333333577 318.79466666669106 
L 319.66133333335785 319.9863333333579 
R 316.59116666669075 320.1315000000246 
R 320.6731666666913 320.889833333358 
R 321.7565000000248 322.0078333333582 
R 322.9113333333583 323.0933333333583 
R 324.0315000000251 324.28500000002515 
R 325.1863333333586 325.4030000000253 
R 326.0530000000254 326.48850000002545 
R 326.88283333335886 327.02800000002554 
R 327.35516666669224 327.49816666669227 
R 327.96616666669235 328.3280000000257 
R 329.1578333333592 329.3398333333592 
R 329.6626666666926 329.8446666666926 
R 330.206500000026 330.38633333335935 
R 330.7113333333594 331.2876666666928 
R 331.86833333335954 332.19116666669294 
R 333.02316666669304 333.2788333333597 
R 334.3231666666932 334.5398333333599 
L 320.59950000002465 335.11616666669335 
L 335.4780000000267 335.83766666669345 
L 336.52666666669353 336.8126666666936 
L 337.60783333336036 337.82450000002706 
L 338.7280000000272 338.9446666666939 
L 339.737666666694 340.0258333333607 
R 335.4411666666934 340.4266666666941 
R 340.9315000000275 341.0745000000275 
R 342.12100000002766 342.339833333361 
R 343.2411666666945 343.4578333333612 
R 344.35916666669465 344.61483333336133
L 340.5696666666941 345.11966666669474 
R 345.00916666669474 346.0925000000282 
L 346.0210000000282 347.64600000002844 
R 347.5745000000284 348.11616666669516 
R 348.66000000002856 349.0911666666953 
L 348.07933333336183 349.9968333333621 
R 349.9231666666954 350.82666666669553 
